a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff,gg,hh,ii,jj,kk,ll,mm,nn,oo,pp,qq,rr,ss,tt,uu,vv,ww,xx,yy,zz,aaa,bbb,ccc,ddd,eee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,,,False,,,,,
,,,,,,"deinen Namen will ich rühmen,",,,,,,,,,,,,,,,,,,,,,,,,,,,K.,"Man hört schon die Schritte der Armen,",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,E7,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,
,,,,,,deinen Namen will ich loben.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"die Schritte der Kleinen,",,,,,,,,,,,,,,,,,,,,,,
,,,,,,a,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,
,,,,K.,,Du wirst den Tod vernichten,,,,,,,,,,,,,,,,,,,,,,,,,,,,"die Schritte der Kleinen,",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E7,,,,,,,,,,,,,,
,,,,,,für immer,,,,,,,,,,,,,,,,,,,,,,,,,,,,des Restes Jakobs.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
